date,dayofweek,status,isholiday
2020-08-27,4,0,N
2020-08-28,5,0,N
2020-08-29,6,0,Y
2020-08-30,7,0,Y
2020-08-31,1,0,N
2020-09-01,2,0,N
2020-09-02,3,0,N
2020-09-03,4,0,N
2020-09-04,5,0,N
2020-09-05,6,0,Y
2020-09-06,7,0,Y
2020-09-07,1,0,N
2020-09-08,2,0,N
2020-09-09,3,0,N
2020-09-10,4,0,N
2020-09-11,5,0,N
2020-09-12,6,0,Y
2020-09-13,7,0,Y
2020-09-14,1,0,N
2020-09-15,2,0,N
2020-09-16,3,0,N
2020-09-17,4,0,N
2020-09-18,5,0,N
2020-09-19,6,0,Y
2020-09-20,7,0,Y
2020-09-21,1,0,N
2020-09-22,2,0,N
2020-09-23,3,0,N
2020-09-24,4,0,N
2020-09-25,5,0,N
2020-09-26,6,0,Y
2020-09-27,7,2,N
2020-09-28,1,0,N
2020-09-29,2,0,N
2020-09-30,3,0,N
2020-10-01,4,1,Y
2020-10-02,5,1,Y
2020-10-03,6,1,Y
2020-10-04,7,1,Y
2020-10-05,1,1,Y
2020-10-06,2,1,Y
2020-10-07,3,1,Y
2020-10-08,4,1,Y
2020-10-09,5,0,N
2020-10-10,6,2,N
2020-10-11,7,0,Y
2020-10-12,1,0,N
2020-10-13,2,0,N
2020-10-14,3,0,N
2020-10-15,4,0,N
2020-10-16,5,0,N
2020-10-17,6,0,Y
2020-10-18,7,0,Y
2020-10-19,1,0,N
2020-10-20,2,0,N
2020-10-21,3,0,N
2020-10-22,4,0,N
2020-10-23,5,0,N
2020-10-24,6,0,Y
2020-10-25,7,0,Y
2020-10-26,1,0,N
2020-10-27,2,0,N
2020-10-28,3,0,N
2020-10-29,4,0,N
2020-10-30,5,0,N
2020-10-31,6,0,Y
2020-11-01,7,0,Y
2020-11-02,1,0,N
2020-11-03,2,0,N
2020-11-04,3,0,N
2020-11-05,4,0,N
2020-11-06,5,0,N
2020-11-07,6,0,Y
2020-11-08,7,0,Y
2020-11-09,1,0,N
2020-11-10,2,0,N
2020-11-11,3,0,N
2020-11-12,4,0,N
2020-11-13,5,0,N
2020-11-14,6,0,Y
2020-11-15,7,0,Y
2020-11-16,1,0,N
2020-11-17,2,0,N
2020-11-18,3,0,N
2020-11-19,4,0,N
2020-11-20,5,0,N
2020-11-21,6,0,Y
